Слово,Частота,Частота (в %)
sed,27,2.700
in,20,2.000
non,17,1.700
et,15,1.500
nec,14,1.400
ut,14,1.400
sit,14,1.400
amet,14,1.400
ac,13,1.300
nunc,13,1.300
mauris,13,1.300
id,12,1.200
quis,12,1.200
enim,12,1.200
vitae,12,1.200
orci,12,1.200
elit,11,1.100
vestibulum,11,1.100
neque,11,1.100
vel,11,1.100
lorem,10,1.000
urna,10,1.000
metus,10,1.000
nisl,10,1.000
eu,10,1.000
massa,10,1.000
ipsum,9,0.900
sem,9,0.900
aliquam,9,0.900
odio,9,0.900
ex,9,0.900
purus,8,0.800
augue,8,0.800
luctus,8,0.800
eros,8,0.800
sagittis,8,0.800
tristique,8,0.800
donec,8,0.800
cras,8,0.800
libero,8,0.800
nulla,8,0.800
efficitur,7,0.700
leo,7,0.700
volutpat,7,0.700
at,7,0.700
arcu,7,0.700
magna,7,0.700
turpis,7,0.700
est,7,0.700
accumsan,7,0.700
lobortis,7,0.700
dignissim,7,0.700
posuere,7,0.700
lectus,7,0.700
tempus,7,0.700
risus,7,0.700
quisque,7,0.700
velit,6,0.600
pellentesque,6,0.600
ullamcorper,6,0.600
congue,6,0.600
dolor,6,0.600
dictum,6,0.600
dapibus,6,0.600
pulvinar,6,0.600
diam,6,0.600
nisi,6,0.600
etiam,6,0.600
euismod,6,0.600
imperdiet,6,0.600
mi,6,0.600
ligula,6,0.600
varius,6,0.600
fermentum,6,0.600
tellus,6,0.600
faucibus,6,0.600
tortor,6,0.600
fringilla,6,0.600
eget,6,0.600
justo,5,0.500
semper,5,0.500
finibus,5,0.500
fusce,5,0.500
laoreet,5,0.500
iaculis,5,0.500
a,5,0.500
ultrices,5,0.500
ornare,5,0.500
nibh,5,0.500
malesuada,5,0.500
sapien,5,0.500
maximus,5,0.500
suscipit,5,0.500
integer,5,0.500
scelerisque,5,0.500
feugiat,5,0.500
consequat,5,0.500
nullam,5,0.500
hendrerit,5,0.500
consectetur,5,0.500
tempor,4,0.400
bibendum,4,0.400
sodales,4,0.400
vehicula,4,0.400
porta,4,0.400
interdum,4,0.400
quam,4,0.400
tincidunt,4,0.400
condimentum,4,0.400
ante,4,0.400
rutrum,4,0.400
eleifend,4,0.400
facilisis,4,0.400
vulputate,4,0.400
mattis,4,0.400
felis,4,0.400
phasellus,4,0.400
proin,4,0.400
maecenas,4,0.400
sollicitudin,4,0.400
dui,4,0.400
gravida,4,0.400
nam,3,0.300
duis,3,0.300
ultricies,3,0.300
morbi,3,0.300
auctor,3,0.300
porttitor,3,0.300
erat,3,0.300
vivamus,3,0.300
lacus,3,0.300
lacinia,3,0.300
pharetra,3,0.300
blandit,3,0.300
venenatis,3,0.300
viverra,3,0.300
suspendisse,3,0.300
pretium,3,0.300
aenean,2,0.200
elementum,2,0.200
commodo,2,0.200
per,2,0.200
convallis,2,0.200
praesent,2,0.200
molestie,2,0.200
rhoncus,2,0.200
curabitur,2,0.200
mollis,1,0.100
potenti,1,0.100
ad,1,0.100
sociosqu,1,0.100
platea,1,0.100
taciti,1,0.100
aptent,1,0.100
dictumst,1,0.100
ridiculus,1,0.100
penatibus,1,0.100
conubia,1,0.100
inceptos,1,0.100
magnis,1,0.100
placerat,1,0.100
parturient,1,0.100
himenaeos,1,0.100
torquent,1,0.100
adipiscing,1,0.100
cursus,1,0.100
habitasse,1,0.100
hac,1,0.100
dis,1,0.100
nascetur,1,0.100
nostra,1,0.100
natoque,1,0.100
facilisi,1,0.100
litora,1,0.100
montes,1,0.100
primis,1,0.100
mus,1,0.100
curae,1,0.100
class,1,0.100
cubilia,1,0.100
aliquet,1,0.100
